"Time","avg(water_surface)"
0,10
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,10
65,10
66,10
67,10
68,10
69,10
70,10
71,10
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,10
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,10
136,10
137,10
138,10
139,10
140,10
141,10
142,10
143,10
144,10
145,10
146,10
147,10
148,10
149,10
150,10
151,10
152,10
153,10
154,10
155,10
156,10
157,10
158,10
159,10
160,10
161,10
162,10
163,10
164,10
165,10
166,10
167,9.9999
168,9.9998
169,9.9995
170,9.999
171,9.9981
172,9.9966
173,9.9942
174,9.9906
175,9.9856
176,9.9789
177,9.9702
178,9.9594
179,9.9466
180,9.9319
181,9.9154
182,9.8972
183,9.8778
184,9.8572
185,9.8358
186,9.8138
187,9.7914
188,9.7688
189,9.7462
190,9.7238
191,9.7017
192,9.6801
193,9.6591
194,9.6389
195,9.6196
196,9.6013
197,9.5841
198,9.5683
199,9.5537
200,9.5407
201,9.5291
202,9.519
203,9.5105
204,9.5037
205,9.4986
206,9.4954
207,9.495
208,9.4985
209,9.5083
210,9.5283
211,9.5638
212,9.6192
213,9.6937
214,9.7766
215,9.8518
216,9.908
217,9.9443
218,9.9652
219,9.9763
220,9.9821
221,9.9851
222,9.9868
223,9.9878
224,9.9885
225,9.9892
226,9.9899
227,9.9907
228,9.9917
229,9.9927
230,9.9937
231,9.9946
232,9.9955
233,9.9964
234,9.9971
235,9.9977
236,9.9983
237,9.9986
238,9.9989
239,9.999
240,9.9992
241,9.9992
242,9.9993
243,9.9994
244,9.9994
245,9.9995
246,9.9995
247,9.9995
248,9.9996
249,9.9995
